sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,gse,layout,tissue,condition,sex,dpi
SRR19070041,-98.1061463792007,90.66739184881698,-63.18878185650598,-13.784869291809507,16.716394389698728,5.132285700294352,-8.899412548817963,3.657132058892243,0.010025445394952032,-0.07949792326188726,1.60844892087051,-0.974264132144032,1.757521532579684,1.491451660589125e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070042,-67.1015560196931,-60.38813935350308,-14.212910915754774,27.645633848681655,-14.051318623676169,-64.71273075517671,-7.273959325466476,4.809131249183735,1.6823306912047833,0.9908275372195179,0.38013215938716854,0.4243524291713253,-2.1261428014475268,1.5094899585926003e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070043,-65.10498079889193,-59.16545840699246,-15.642044676348169,37.62904396645654,-40.478986430175866,49.201435839534895,8.269699273271863,2.914618034949939,-0.8185377739654527,-0.4098452547809012,1.1939717700844203,1.2080485949296693,0.16127857567133153,1.2664783534330733e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070035,-98.66395910913124,101.70135683912812,58.367219893107645,14.065810848856032,-17.769146827746805,-3.989054185199598,-0.5804371886935689,-6.232667778819983,0.1815097171540464,0.3466027274296829,-5.6602028806474385,-1.5145265698096935,-1.44426157050271,1.1637331225629702e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070036,-71.11376119231844,-60.246937940220676,13.151322515994636,-75.82822192131529,-19.423912403081218,2.079453672150482,-0.9153617720326478,-1.2493085524636665,1.59565564900174,0.39643059767954525,-0.4784738504546834,-0.5513017158958097,0.09640779902963478,1.2373978371527385e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070037,-72.00395940877652,-58.7752145615888,21.264194897746606,13.404225790140423,71.02871766774872,14.117715561636626,-2.125648039550139,-6.384241338039719,2.027412948676296,-2.2780159424643935,2.3826728784310847,1.643258576464379,1.1324467658766795,1.4614307832544098e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR25715198,49.17999335469004,14.94021864848456,-3.4409881762086085,-3.3493458009111667,1.6244238321032207,-4.605501253184326,31.961923165969225,-12.586466800474428,-5.457004118005728,1.8239791259397655,18.057153821624215,40.8770385679039,-31.003998929623215,1.6327004400288954e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715200,59.39002218370724,4.147421503122563,-2.391925488865185,0.5151369990306944,1.9929802049682679,0.8639365330743553,8.709802522332621,-10.171867929445794,15.578799910321784,23.73394487070709,11.471742123226253,-45.29392371571996,-27.43414204414613,1.4941986293208235e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715206,49.01801080667243,2.288800173309889,-9.391972620310865,-1.1073198959429704,3.1192484379522827,-7.31418120435419,41.43353581303903,-23.845392485984103,-13.38614849650826,-15.001995290258433,-35.567960507156684,-11.676096857664703,20.646461493276593,1.5839557864853e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715208,73.41299633916057,7.0812875444253205,-1.1942301906296078,1.8623856279393545,-6.816084031904192,1.246737115963538,-20.730805128102233,-25.558736959236185,45.61384635829692,-13.657060797918382,11.316831652712535,11.129257574429609,22.750869972057867,1.4789827224811128e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715228,60.06919473967603,3.3061730198042603,3.088969343972239,-0.14709756297489218,4.3552896530655545,3.333382584672451,-6.994625473354507,28.187652561088818,7.536720939404952,45.395445926282086,-28.416484229141894,17.49663112746134,10.363213498722626,1.7526723724205015e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715226,72.7655597670713,-4.382968027822442,-0.31670141243305633,1.4279551988283783,-3.7237843223119054,5.8718974845895815,-50.67916894723364,-19.280082158652476,-34.76971279305886,-8.76117850286504,-12.204867871880415,0.673243775537222,-15.011963999118665,1.4234668610272102e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715220,57.62796361723505,8.971461814511343,6.639383262981273,-1.7450609121238305,3.8173904964304985,1.7150795949393633,2.1808807616571566,51.06578377062023,9.739020346647532,-39.27226991644503,-5.719973453908005,-6.177094982786771,-12.928581280163767,1.8537681771170084e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715218,50.63062209979923,9.854606898524903,7.268465423253722,-0.5882768948554119,-0.3912120430712109,-2.9404566889407975,5.6435768869811955,14.67444632838137,-29.53391882456458,6.7726328427364715,41.637009466853044,-7.264622671876284,33.040890987787755,1.4467771860031678e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
