sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,gse,layout,tissue,condition,sex,dpi
SRR35143100,-76.02828898277248,0.43389081397276413,-4.398129953802689,3.6259375823197724,-0.16528052156142908,-2.4112897935347455,-3.504042574497932,47.942696494178556,33.161332029014346,0.8080778377627919,11.664554206088237,9.392657702615546e-14,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143101,-73.52262239587189,1.6642151738211168,1.3406844068189354,-1.0206376790736846,3.1848009051549346,-2.2307300279326916,20.72701872306079,0.8351090378608407,1.5429363258803983,-5.067967505667914,-52.547205272908656,9.272649252403341e-14,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143102,-83.25917159058757,1.350179168049866,2.0548835489883155,-3.3686296102800757,1.8762108728120077,-3.645320965548565,22.304156526233903,-16.810241154005485,-3.6403815992224406,-45.37820208734482,22.200633841192644,3.215192703742366e-14,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143106,-72.16671957630861,-0.062303111950988505,0.23408435974413477,0.9788571183188889,-7.140098772211472,7.946140980383634,-61.63940767147951,-12.11079964979499,-5.264354749154266,-9.076829355264831,-6.775797195897766,8.649474637743568e-14,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR35143107,-89.47104814837408,-1.1696324070841544,-2.3655231397067236,-0.9696072029661154,2.924121207758595,-3.180964208841685,10.43347840121768,-35.08025084487994,21.242314789123366,37.35732570970926,12.157709950319997,8.69630502514613e-14,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR35143108,-71.06780576834294,10.407881179456234,2.7101813389164886,1.2663665568313696,-1.2104862940631123,4.133914321120293,8.69110453542469,19.220073321982284,-50.117704064030484,20.489973558989327,10.467245421586762,7.762159529754864e-14,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR19070038,75.35307843318759,-27.567836654880374,-53.81054584520503,-30.712184492443708,29.27390862631691,18.747005104786833,-0.4851225394674826,0.4832943504008286,-2.1841170807419124,-0.5733566285377357,0.43882956613144297,1.260646371281582e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070039,75.64756300175158,-24.084565394260622,-10.676563631669694,10.443273099534759,-1.784354058243319,-63.29390735877013,-6.216970952766566,-0.5309619527045825,-5.48563315445784,0.6499761867421775,-0.14543586321628207,8.462670751004887e-14,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070040,75.38063059706327,-25.037804451590908,-14.286246428581906,13.072230721478064,-59.70040824139216,20.49654433435611,9.988330018449412,-2.1960972479284204,2.3067606607976874,-0.0856666777006997,-0.12471314250332273,7.497948109877634e-14,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070035,90.51641685977451,118.6776727923964,0.3662636734132215,-1.1173646846280636,1.0173898355775353,0.6636550751347892,-0.4629428030742654,-2.3314361288794863,4.3242271883458265,-0.5254874486330476,0.2439344693069001,4.6746054984272985e-14,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070036,73.75584938353667,-28.000620958170554,56.15198434072389,-45.18951780007721,-0.4041137879246872,2.6402472036601465,-0.801263910709926,2.651047895968083,3.003284519074929,2.4441867629767158,1.2968753893712979,1.0678442069817393e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070037,74.86211818694457,-26.611076149758173,22.678927330361187,52.99127639098622,32.12831022777628,20.134705335186332,0.965662247609485,-2.0724341221977713,1.1113351353705538,-1.042030353031469,1.1233686305287789,9.891429851183669e-14,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
