sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,gse,layout,tissue,condition,sex,...7
SRR28352555,-2.201315857749567,0.3379093194988882,-64.75989665531287,-18.451660560658087,10.610750654819695,60.784745229888856,1.8638960275577528e-13,-2.1125838505560094e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR28352556,1.72712100554418,18.30099295993279,-32.84719937682344,31.961425564421738,29.556052505400725,-69.91304169274814,1.983789134797922e-13,-2.2330015704789192e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR28352557,4.167732021517062,-86.90095356169059,32.69396806283576,-40.55514404389175,-29.70621025091617,-18.270462481034993,1.9324333974442078e-13,-2.1165976625218758e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR28352561,-3.6935371693117647,68.26205128225797,64.91312796930072,27.04537904012788,-10.460592909304184,27.398758943894695,2.062486417350991e-13,-2.38088845886015e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR25715202,72.43370793389883,-44.90710499373956,21.494672451047464,24.53763225452463,55.99487296401702,18.988174378669076,2.8222207906195226e-13,1.4691253219165705e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715204,-79.65768198046838,-34.880672833706704,-13.714039535142796,54.35656627275925,-37.25841572822042,7.669274141621844,2.675872110055771e-13,1.506079660183117e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715210,80.4578821618864,44.90083359312242,-20.830651544832513,-19.85836195884929,-54.254671692522834,-14.866096461077566,3.157674350625025e-13,1.3173427653791158e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715212,-73.2339081153168,34.886944234324,13.050018628927923,-59.03583656843487,35.51821445672634,-11.791352059213427,2.589543102753559e-13,1.530078654600138e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
