sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,gse,layout,tissue,condition,sex,...7
SRR8327813,-63.613899338311754,100.54996566952957,40.910419521621805,0.09325342770970492,0.8079143941363592,0.1402588252506145,1.0019018066006715e-13,2.2201295409843414e-16,GSE123919,SINGLE,DRG,SNI,FEMALE,NA
SRR8327814,-59.87287609053622,-89.7063956072183,62.58453985547285,-0.16918862540138926,0.8699100947801193,0.07720297130076106,8.713497704051745e-14,-1.0481014052243969e-14,GSE123919,SINGLE,DRG,SNI,FEMALE,NA
SRR8327817,-45.40669196496822,-13.32396933565008,-111.1974387566153,-0.017760271632221696,0.6119060234393602,-0.008967613941269449,9.284178359561215e-14,-5.097299744549948e-15,GSE123919,SINGLE,DRG,SNI,FEMALE,NA
SRR8327818,168.89346739381605,2.4803992733388522,7.702479379520976,0.09369546932388857,-2.2897305123558276,-0.20849418261009706,-1.0117233299482537e-13,5.556703042497896e-15,GSE123919,SINGLE,DRG,SNI,FEMALE,NA
SRR25715202,4.067219879583078,-0.17659057244038845,-0.06526511082057156,40.12710684124908,27.579014235061898,27.14234964934655,-2.724688583628008e-15,7.876284045660525e-14,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715204,4.3439577884786065,0.3180031188059978,0.041087118345125954,-33.64135668978022,33.29400983607391,-27.218093374407893,-2.9595221073287687e-15,3.9282039959343715e-14,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715210,-5.164057305407368,-0.18390677233736447,0.13204078836004676,30.756216667356707,-33.13830126412385,-29.441335724740558,1.1401132257521096e-15,4.92950697364413e-14,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715212,-3.247120362654311,0.04249422597174194,-0.10786279588459186,-37.24196681882524,-27.734722807012076,29.517079449802107,-4.16589719502672e-16,1.6638926178082352e-14,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
