sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,gse,layout,tissue,condition,sex,...7
SRR28352555,-77.37545284308915,5.869861724336052,6.133416219884824,-36.88434921444626,37.636594103065306,4.448246617835195,37.600960899625676,1.8101741952848663e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR28352556,-76.12866330563192,12.28385337658369,-8.479331466007752,-26.593184784229344,-22.825038477238163,29.349663564163226,-44.0084541073244,1.6352382119884884e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR28352557,-66.79305184726647,-20.26946197064997,60.06005363168845,34.19895953810384,13.068745953999464,-21.965787432088945,-18.444788699290655,1.5078666901746747e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR28352561,-70.20542760511195,17.679944207097385,-48.53576186170419,33.30340274086595,-30.45099187713076,-13.854025550795098,25.613222530208468,1.4418794497285569e-13,GSE261676,PAIRED,DRG,SNI,MALE,NA
SRR25715202,86.89436755309252,28.10031968233503,44.34857814589091,11.633483111426644,-20.253954889364824,36.241619737507946,23.081739194280743,1.3193054675978426e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715204,60.81582303786044,-64.35932820295109,1.0567866967212638,-29.22744343538757,-29.554498328989496,-24.09806257953856,6.990074716304784,1.2852521813367067e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715210,84.48452204516371,58.92050314140374,-11.539776000421806,-10.723103838682915,15.769944075027444,-36.47263083887147,-19.395061684576532,8.264030542045931e-14,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
SRR25715212,58.30788296498205,-38.225691958155075,-43.04396536605164,24.292235882349786,36.609199440631365,26.350976481788397,-11.437692849227949,1.2374355310558992e-13,GSE241361,PAIRED,DRG,SNI,FEMALE,NA
