ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000028,Cdc45,1.266340362725206,1.6664633903814159,1.358101918460398,1.2270532628880972,0.21980257252998148,0.31053350300681376
ENSMUSG00000000037,Scml2,3.4435703744465034,3.3787360757540155,1.2228520158237064,2.7629966930038687,0.005727334673789059,0.0126980079716858
ENSMUSG00000000056,Narf,9.233020580560328,-2.796328267626729,0.6982292270786671,-4.004885729757166,6.204746762379832e-5,2.0216410677267884e-4
ENSMUSG00000000078,Klf6,303.8778365383799,0.6938114619029909,0.2207617366860646,3.14280668524378,0.001673363137422453,0.004148326855350211
ENSMUSG00000000085,Scmh1,281.6964944906432,0.22186990991310607,0.136056053863875,1.6307242758568348,0.10294851185880419,0.16327961427692117
ENSMUSG00000000088,Cox5a,581.1348107189718,-5.709195178167072,0.2663356297716903,-21.436092433675284,6.157175327360234e-102,1.5213736946932638e-99
ENSMUSG00000000093,Tbx2,11.949847809255719,-0.6316324255573517,0.5407846949781672,-1.1679924217952438,0.24280982171664842,0.337026628533505
ENSMUSG00000000120,Ngfr,52.999777497315335,-0.34160966579822627,0.3969608231560191,-0.8605626698430189,0.38947895339976224,0.49189001562245266
ENSMUSG00000000131,Xpo6,381.25665768072804,-0.34554088650064907,0.2190893410998318,-1.5771688607306436,0.11475667596187358,0.17924302014801557
ENSMUSG00000000134,Tfe3,61.93472742962353,0.008425709067740008,0.47756669017482706,0.017642999901554136,0.9859236530462867,0.9896299082144713
ENSMUSG00000000142,Axin2,28.534108861530846,-3.318291187616429,0.979684382245788,-3.3871022624753038,7.063505372232722e-4,0.0019020223070480272
ENSMUSG00000000148,Brat1,149.16314763461332,0.6788416785973195,0.3038975629965678,2.233784542079353,0.02549725312365923,0.048669090909971006
ENSMUSG00000000149,Gna12,61.3074805908931,-10.490801248682624,1.3783929352123634,-7.6108930774999575,2.7220835966985667e-14,2.828882231220639e-13
ENSMUSG00000000167,Pih1d2,15.046343570949407,1.5616778528986857,0.4776482945197133,3.2695141400410312,0.001077323526719707,0.0027845575308110457
ENSMUSG00000000168,Dlat,136.29322158350553,-0.36371072583391684,0.2571012207709277,-1.4146596610600157,0.1571683070873141,0.2336495441658122
ENSMUSG00000000184,Ccnd2,302.21329640380566,0.7374501037958368,0.2659028873911987,2.7733813311733373,0.005547706991603574,0.012331134431524862
ENSMUSG00000000194,Gpr107,54.91866629852675,-0.4121659687528091,0.34945274830312,-1.1794612311799328,0.23821456552559037,0.33176092641340527
ENSMUSG00000000197,Nalcn,35.26295936441388,-3.097433627012344,0.5740800678498441,-5.395473210929361,6.834318946876994e-8,3.472748623865827e-7
ENSMUSG00000000202,Btbd17,72.09474795368672,-2.080053067499819,0.6859463781413716,-3.032384357995875,0.002426300440105335,0.005788226806609614
ENSMUSG00000000223,Drp2,745.2520297422415,1.2213343083911816,0.2983579262756564,4.093520569863381,4.248723651845309e-5,1.4241267474448085e-4
