ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000028,Cdc45,3.644321000943283,0.4141286635780438,0.9603892458641851,0.4312091845691163,0.6663162762913561,0.9999745046429632
ENSMUSG00000000037,Scml2,10.988798364047685,0.7358550471035087,0.7863242656191324,0.9358162774286439,0.34936778922719774,0.9999745046429632
ENSMUSG00000000056,Narf,4.374497390980027,0.3770025366740331,0.8770619050293196,0.42984712311889794,0.6673068516474454,0.9999745046429632
ENSMUSG00000000078,Klf6,769.4048957680461,0.12103846396232726,0.0857360761115972,1.4117565143146882,0.158021666628169,0.9999745046429632
ENSMUSG00000000085,Scmh1,650.7408849983532,-0.011432958830389922,0.09079685754620725,-0.12591800134240985,0.8997968330821254,0.9999745046429632
ENSMUSG00000000088,Cox5a,46.70381738964104,-0.007647309366672873,0.3174858957427311,-0.02408708377039127,0.9807831459928877,0.9999745046429632
ENSMUSG00000000093,Tbx2,19.01773225522197,0.20058634624526078,0.3935922814739043,0.5096297760060621,0.6103108591939747,0.9999745046429632
ENSMUSG00000000120,Ngfr,92.45846702414501,0.22676488685012822,0.20855620269432815,1.0873082839089074,0.27690058880886687,0.9999745046429632
ENSMUSG00000000131,Xpo6,704.769314949009,0.05184552201910831,0.10429829924539147,0.49708885374177525,0.6191263944317031,0.9999745046429632
ENSMUSG00000000134,Tfe3,121.64570903687229,0.25543556506043397,0.20615430672832225,1.2390503458996682,0.21532685388450207,0.9999745046429632
ENSMUSG00000000142,Axin2,8.607122245822131,0.878238497138958,1.0164334378898892,0.8640393599822698,0.3875662689434216,0.9999745046429632
ENSMUSG00000000148,Brat1,388.6050963905472,0.0263901987834607,0.1151242974449177,0.22923222437980426,0.8186884278883838,0.9999745046429632
ENSMUSG00000000154,Slc22a18,2.6443382920078506,-4.862696848415738,2.6962531262284637,-1.8035016078841641,0.07130947315265163,0.9579870282710066
ENSMUSG00000000167,Pih1d2,46.26375549280061,0.10474205098603012,0.2728153891818836,0.38393014155150734,0.7010302254849714,0.9999745046429632
ENSMUSG00000000168,Dlat,259.9265702447542,-0.05724619847058244,0.14121641462318196,-0.40537920909078906,0.6851987911168826,0.9999745046429632
ENSMUSG00000000184,Ccnd2,790.778161005049,0.06252503388281203,0.0902944278760554,0.6924572795193781,0.4886502052593361,0.9999745046429632
ENSMUSG00000000194,Gpr107,112.29621296173963,-0.2893485473968359,0.2194631136370207,-1.3184381767015376,0.18735700798134375,0.9999745046429632
ENSMUSG00000000197,Nalcn,19.450960516845157,-0.5382525206320119,0.4263640129783171,-1.2624248394514124,0.20679595581194912,0.9999745046429632
ENSMUSG00000000202,Btbd17,53.920867761101384,0.25519469870274536,0.4103969168475226,0.6218241127711968,0.5340575291136209,0.9999745046429632
ENSMUSG00000000223,Drp2,2289.1959083567144,-0.07463280425098723,0.09467448434431763,-0.7883095933172272,0.43051563760160005,0.9999745046429632
ENSMUSG00000000244,Tspan32,2.0982704934324867,1.6319989195806606,1.4421607300909267,1.13163455745863,0.25778810519753037,0.9999745046429632
ENSMUSG00000000248,Clec2g,3.457371455559696,-1.0858379458445397,0.8766683023247405,-1.2385961063781197,0.21549511075429642,0.9999745046429632
ENSMUSG00000000253,Gmpr,123.47675830252818,-1.0477272211061768,0.5550806396497935,-1.8875225440526975,0.059090077047959266,0.9195011170007816
ENSMUSG00000000266,Mid2,1095.4869287809563,0.008833863227064148,0.08491608651421115,0.10403050340274166,0.9171451416812798,0.9999745046429632
ENSMUSG00000000276,Dgke,1540.677728752575,-0.06097455776304258,0.080638488132379,-0.7561470852844436,0.44956101416608657,0.9999745046429632
ENSMUSG00000000290,Itgb2,188.53062874946903,1.0662746258889026,0.12938918008488412,8.240833006201807,1.710157816565233e-16,3.5077779900348025e-13
ENSMUSG00000000295,Hddc2,28.61561910454834,0.12867006486722624,0.34540897985609587,0.3725151121457025,0.7095093624621354,0.9999745046429632
ENSMUSG00000000301,Pemt,20.96009481018778,1.2067885888271308,0.6953259522472747,1.7355724821241358,0.08263945509440486,0.9927267176341107
