ensembl_gene_id,gene_symbol,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000002020,Ltbp2,1.254,10,0,9,1.926,0,4.911,2.177
ENSMUSG00000002028,Kmt2a,42.91,33.446,66.105,30.82,76.33,19.623,72.882,76.943
ENSMUSG00000002031,Ift46,739.374,779.4710000000001,662.018,661.596,683.172,746.4979999999999,697.1700000000001,776.447
ENSMUSG00000002032,Tmem25,370.562,397.12800000000004,371.295,355.66399999999993,347.27500000000003,476.87,419.8689999999999,384.452
ENSMUSG00000002033,Cd3g,0,1.087,0,0,0,0,0,0
ENSMUSG00000002043,Trappc6a,24.552999999999997,29.61,34.417,29.997999999999998,32.151999999999994,20.2,40.637,36.204
ENSMUSG00000002052,Supt6,3620.093,3674.0750000000003,3650.016,3337.2870000000003,3621.637,3530.173,3529.4739999999997,4103.053
ENSMUSG00000002055,Spag5,77.083,75.721,89.54,64.99900000000001,75.39,43.055,76.29599999999999,77.21600000000001
ENSMUSG00000002057,Foxn1,0,0,0,0,0,0,0,0
ENSMUSG00000002058,Unc119,118.572,111.642,83.082,136.731,98.807,67.757,150.087,155.13600000000002
ENSMUSG00000002059,Rab34,29.901,50.480000000000004,35.543,47.629999999999995,53.141999999999996,45.73,31.816000000000003,35.7
ENSMUSG00000002064,Sdf2,1159.314,1214.847,1115.848,1151.9279999999999,1130.0339999999999,1193.0230000000001,1116.291,1106.386
ENSMUSG00000002068,Ccne1,4.63,6.729,1.035,2.42,10.961,7.606,1.262,3.176
ENSMUSG00000002076,Hsf2bp,0,4.213,13.902,3.9269999999999996,7.49,0,0,0
ENSMUSG00000002083,Bbc3,16.618000000000002,21.907,22.13,28.484,14.808,28.462,23.058999999999997,14.001
ENSMUSG00000002102,Psmc3,2947.242,3156.0139999999997,2983.0350000000003,3130.0980000000004,3112.227,3282.094,2960.477,3392.5319999999997
ENSMUSG00000002103,Acp2,130.308,177.928,154.27999999999997,97.363,98.08999999999999,107.471,137.572,148.066
ENSMUSG00000002104,Rapsn,0,0,0,0,0,0,6.551,1.968
ENSMUSG00000002105,Slc39a13,141.721,192.115,171.18,182.557,106.95700000000001,58.021,106.62199999999999,195.846
ENSMUSG00000002107,Celf2,1494.16,1534.158,1516.309,1222.086,1426.603,1396.559,1455.645,1611.051
ENSMUSG00000002108,Nr1h3,39.869,18.34,17.685,8.061,21.699,9.174,37.525999999999996,13.056
ENSMUSG00000002109,Ddb2,85.954,52.946999999999996,54.753,87.746,69.951,38.454,70.68299999999999,44.010999999999996
ENSMUSG00000002111,Spi1,87.448,58.849000000000004,75.813,84.247,40.980000000000004,51.729000000000006,34.951,49.691
ENSMUSG00000002129,Sf3a1,51.279,25.753,45.284,32.398,27.986,25.084999999999997,30.170999999999996,40.593
ENSMUSG00000002147,Stat6,2.889,4.915,13.668,4.69,3.972,7.447,4.640000000000001,6.005
ENSMUSG00000002204,Napsa,0,0,0,0,2.271,2,0,1
ENSMUSG00000002205,Vrk3,31.682000000000002,37.015,68.461,27.07,28.82,33.242,33.739999999999995,38.928
ENSMUSG00000002210,Smg9,116.45599999999999,92.025,76.97500000000001,54.699,52.609,87.225,54.528999999999996,93.46700000000001
ENSMUSG00000002221,Paxip1,73.131,96.63299999999998,98.33000000000001,106.36500000000001,81.633,70.023,128.561,120.679
ENSMUSG00000002222,Rmnd5a,4875.6810000000005,4713.569,4305.634,4335.063,4526.564,4319.119,4612.818999999999,5133.371
ENSMUSG00000002227,Mov10,15.218,6.106,16.415,8.318,23.409,4.19,12.665000000000001,4
ENSMUSG00000002228,Ppm1j,0,0,0,0,0,0,0,2.989
ENSMUSG00000002233,Rhoc,2.557,1.259,6.29,0,1.106,3.3649999999999998,0,7.377
ENSMUSG00000002240,Prr27,0,0,0,0,0,0,0,0
ENSMUSG00000002249,Tead3,39.952,30.883,59,23.019,45.39,38.633,46.448,57.608000000000004
ENSMUSG00000002250,Ppard,557.052,562.933,541.657,454.009,498.029,506.672,514.151,603.4519999999999
ENSMUSG00000002257,Def6,3.701,1.581,3.46,2.386,3.996,8.994,0,3
ENSMUSG00000002265,Peg3,1546.8500000000001,1242.5130000000001,1433.7949999999998,1410.507,1219.492,1077.05,1737.1149999999998,1448.556
ENSMUSG00000002266,Zim1,434.385,381.513,402.166,384.222,398.874,346.56,362.42400000000004,413.076
ENSMUSG00000002274,Metrn,1346.108,1415.1979999999999,1522.199,1444.067,1542.083,1608.5770000000002,1639.9759999999999,1399.722
ENSMUSG00000002279,Lmf1,131.196,152.049,148.862,120.352,93.37500000000001,111.00400000000002,90.66,149.981
ENSMUSG00000002280,Ciao3,70.442,55.311,71.259,69.508,54.81099999999999,40.278,98.46600000000001,81.67
ENSMUSG00000002289,Angptl4,78,78.098,98.159,65,73.139,70.013,84.97,61
ENSMUSG00000002297,Dbf4,40.441,31.751,44.399,29.232,32.792,23.291,37.722,29.578
ENSMUSG00000002307,Daxx,335.39,411.894,346.4669999999999,287.77399999999994,351.528,347.55,309.07300000000004,346.616
ENSMUSG00000002308,Cd320,77.751,115.362,82.58,105.056,101.845,99.582,106.416,110.05600000000001
ENSMUSG00000002319,Ipo4,1967.6930000000002,1979.133,1874.333,1860.472,2020.68,2113.54,1941.2560000000003,2323.763000000001
ENSMUSG00000002320,Tm9sf1,56.023,40.06999999999999,47.426,74.74000000000001,68.696,39.115,38.681999999999995,45.115
ENSMUSG00000002324,Rec8,4.347,0,0,0,2.629,1.269,0,0
ENSMUSG00000002325,Irf9,47.748000000000005,37.059,27.864,32.621,31.957,29.404999999999998,33.607,27.46
ENSMUSG00000002326,Gmpr2,129.613,148.365,137.39499999999998,124.846,134,111.05,142.332,123.539
ENSMUSG00000002329,Mdp1,803.7189999999999,786.702,822.5100000000001,790.7,796.7239999999999,841.583,774.239,858.907
ENSMUSG00000002332,Dhrs1,121.025,142.565,145.797,191.20800000000003,81.006,153.47799999999998,100.844,126.955
ENSMUSG00000002341,Ncan,2024.465,1996.228,2041.102,2024.601,2335.833,2172.296,2196.734,2267.331
ENSMUSG00000002342,Tmem161a,135.35399999999998,153.74099999999999,148.915,137.283,149.65099999999998,199.13199999999998,145.31900000000002,160.49099999999999
ENSMUSG00000002343,Armc6,150.906,190.48,188.615,151.525,180.66899999999998,137.123,215.44,194.289
ENSMUSG00000002345,Borcs8,270.032,361.541,340.80699999999996,311.61800000000005,361.81999999999994,342.097,369.07800000000003,341.79
ENSMUSG00000002346,Slc25a42,259.121,280.748,262.61600000000004,192.108,235.719,248.344,228.951,286.35
ENSMUSG00000002365,Snx9,1.029,1.077,1.105,1.009,3.293,0,1.042,2.168
ENSMUSG00000002372,Ranbp3,155.4,115.968,134.56300000000002,162.757,132.736,147.46200000000002,179.59099999999998,170.92900000000003
ENSMUSG00000002379,Ndufa11,0,0,0,0,0,0,0,0
ENSMUSG00000002384,Bmp8b,2.493,1.581,2.496,5.162,0,2.466,2.559,1
ENSMUSG00000002393,Nr2f6,109.348,108.64,88.297,78.651,106.624,93.967,127.205,83.58
ENSMUSG00000002395,Use1,346.751,303.636,244.861,291.68,318.102,301.455,279.967,322.54200000000003
ENSMUSG00000002396,Ocel1,1.361,5.748,4.46,1.621,5.14,5.599,5.43,9.065
