ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000021423,Ly86,455.51621752780136,1.5123746433293066,0.117096992083763,12.915572094691036,3.6770092348976156e-38,5.279449859465995e-34
ENSMUSG00000023992,Trem2,247.49757711870632,1.415615090602092,0.14438790248077224,9.804249984105184,1.0794592065556345e-22,7.749437643862899e-19
ENSMUSG00000025017,Pik3ap1,155.9702484200081,1.1653501105080626,0.13359629255399763,8.722922531978538,2.711117642430211e-18,1.2975409036670991e-14
ENSMUSG00000015950,Ncf1,229.42100843262503,1.0536404037224782,0.12171360574776764,8.656718345079536,4.855404897192129e-18,1.3942780702776916e-14
ENSMUSG00000024907,Gal,434.18734129366,1.6491509065103984,0.19036031874306084,8.663312382536734,4.582504426705336e-18,1.3942780702776916e-14
ENSMUSG00000032089,Il10ra,211.48753851491583,0.9957807510024492,0.11973940383395534,8.316232744763914,9.080342045792998e-17,2.1729258515582647e-13
ENSMUSG00000000290,Itgb2,188.53062874946903,1.0662746258889026,0.12938918008488412,8.240833006201807,1.710157816565233e-16,3.5077779900348025e-13
ENSMUSG00000030579,Tyrobp,424.9610543660275,0.8668426905714685,0.10642145611583652,8.145375211065863,3.7810760350204044e-16,6.7860862138528705e-13
ENSMUSG00000098557,Kctd12,2221.7817955632486,0.3639777644291799,0.04535902374007064,8.024373860313887,1.0204508385978414e-15,1.6279592378430897e-12
ENSMUSG00000044258,Ctla2a,282.32447450460876,1.5848326172283635,0.20390600494741903,7.772368536360869,7.703193715966354e-15,1.1060245537384489e-11
ENSMUSG00000079110,Capn3,142.94464283427203,1.6362359789007128,0.2185081060775368,7.488216379121882,6.981586062743727e-14,9.112873880806763e-11
ENSMUSG00000042816,Gpr151,63.49050971885366,2.9457802257599908,0.4014229384256905,7.338345529811569,2.1625029798548786e-13,2.5874348153963616e-10
ENSMUSG00000026628,Atf3,291.31232388025785,4.645307687613891,0.6530717717177713,7.113012518356692,1.1353697641364517e-12,1.2539722364208594e-9
ENSMUSG00000029819,Npy,624.4947286382647,1.1284516693608502,0.15957183947599377,7.071746951507795,1.5299523057529564e-12,1.5690753718572107e-9
ENSMUSG00000091655,Gm8741,20.57714172527032,-7.821728148970815,1.1103551781663004,-7.044347883249424,1.863320816533916e-12,1.7835706855862644e-9
ENSMUSG00000026701,Prdx6,4768.012034822967,0.19676832381682585,0.02836591469020175,6.936787548218716,4.0111634352125265e-12,3.3999690728738273e-9
ENSMUSG00000027848,Olfml3,344.1427126926611,0.9345888804609424,0.13473920908689643,6.93627999447588,4.025593692635121e-12,3.3999690728738273e-9
ENSMUSG00000098112,Bin2,161.2485641777016,1.339341612189486,0.19972618942389575,6.705888777294439,2.0018415818999795e-11,1.5968023018288836e-8
ENSMUSG00000071713,Csf2rb,67.5959417737688,1.5635057586058043,0.2342169164612136,6.675460433126833,2.4645715336054966e-11,1.862437793658301e-8
ENSMUSG00000020101,Vsir,885.3348663679965,0.5563019083423141,0.08476109832002085,6.563174845162592,5.267402201786855e-11,3.7814680406627836e-8
ENSMUSG00000075316,Scn9a,292.6865290651816,0.8884395886544664,0.13592455624597968,6.536269922019659,6.3072042863154e-11,4.3123256734722146e-8
ENSMUSG00000051504,Siglech,138.24038224936638,1.3553907235705147,0.2128665363388976,6.36732643318179,1.9235151983085603e-10,1.2553559644233777e-7
ENSMUSG00000004266,Ptpn6,124.69252812995992,0.971037766634851,0.1586088166280498,6.122218091520166,9.228159316872807e-10,5.760778759637382e-7
ENSMUSG00000074622,Mafb,238.34059469867168,0.6385369734164715,0.10567100828247256,6.042688375884309,1.5156722426470324e-9,9.067509191635872e-7
ENSMUSG00000041986,Elmod1,103.49202085673774,-1.1048483488018872,0.1840295094511035,-6.003647741589208,1.9293304409405233e-9,1.1080530588409616e-6
ENSMUSG00000044452,Zfp507,19.429008767032236,2.9465124598590724,0.502755583959416,5.860725477485545,4.6084930723941414e-9,2.544951674362888e-6
ENSMUSG00000035208,Slfn8,12.350471063629335,7.074688018971642,1.218461366596405,5.806247299193208,6.388857791273261e-9,3.397452598781536e-6
ENSMUSG00000005103,Wdr1,117.16681528997574,1.5055257183249764,0.2650037830412945,5.6811480238015175,1.3379361812144626e-8,6.860745603527591e-6
ENSMUSG00000044786,Zfp36,11.356362289468487,6.955085276810016,1.2484732626826371,5.570872428509512,2.5346687690003724e-8,1.2549232477692189e-5
ENSMUSG00000030748,Il4ra,211.51024754267405,0.7276465494603015,0.13153593162388116,5.531922270037678,3.1674026988238486e-8,1.515918931657094e-5
ENSMUSG00000042842,Serpinb6b,9.63269480987704,6.715436150898089,1.221895669887758,5.4959161542122175,3.8868716482264354e-8,1.8002484879108115e-5
ENSMUSG00000047786,Lix1,846.0157871861381,0.346503058146709,0.06393714526806701,5.419432736540517,5.978843911435659e-8,2.6826325275122867e-5
