sample_id,gse,layout,tissue,condition,sex,
SRR25715198,GSE241361, PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR25715200,GSE241361, PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR25715206,GSE241361, PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR25715208,GSE241361, PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR8327795,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR8327796,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR8327799,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,
SRR8327800,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,
