gene_symbol,ensembl_gene_id,female_log2FC,female_padj,male_log2FC,male_padj
Atf3,ENSMUSG00000026628,4.645307687613891,1.2539722364208594e-9,5.578692946296548,2.637393974569498e-12
Gpr151,ENSMUSG00000042816,2.9457802257599908,2.5874348153963616e-10,2.6468694010899587,0.03309419144600749
