Dataset,Sex,Tissue,DPI,Genes_tested,Significant_genes_padj_lt_0.05,Upregulated_padj_lt_0.05_log2FC_gt_1,Downregulated_padj_lt_0.05_log2FC_lt_minus_1,Shared_significant_genes
GSE241361,Female,Spinal cord,7,15292,119,52,7,Atf3; Gpr151
GSE202166,Male,Spinal cord,7,13947,9,6,3,Atf3; Gpr151
