sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,gse,layout,tissue,condition,sex,...7
SRR25715198,-85.200458304865,-0.9003109829794096,0.21321809946241088,-0.05521974605166754,18.521835182739252,-38.90098080851374,20.659858846467614,1.3089909749979214e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR25715200,-81.561482788153,0.11136700004698274,0.18083888910412976,-0.08691711801861148,-7.715020192838984,34.138037532016455,31.866664111773265,1.1069469483088149e-15,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR25715206,-83.03736621034577,0.5431794630914919,-0.11682120469460766,0.2867683331957422,34.46313948026861,15.200402254676078,-32.185600213780106,6.771846992605394e-14,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR25715208,-79.10299609463286,0.2760026083954334,-0.4144909238625504,0.6919883642437397,-46.69112272118336,-9.857930122596855,-20.820319793717545,5.862275260298125e-14,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR8327795,82.79154389888153,-6.22604627987086,75.52460882213137,61.97449267935754,0.3640487095703192,-0.10942921244374823,0.11292341926781477,2.776506521502154e-14,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR8327796,81.18257717638467,-10.642764295483298,34.57938178681062,-89.63283067999858,0.13105931199899806,-0.13339611230339066,-0.1707702349985636,1.259396253063519e-13,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR8327799,82.40385024843071,89.70444509765885,-44.130027184740776,8.525025328958087,0.5095728280007742,-0.4367080984685473,0.4694138870748747,8.770112844639466e-14,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
SRR8327800,82.52433207429877,-72.8658726108594,-65.83670828421003,18.29669283831351,0.4164874014441258,0.10000456763379374,0.06782997791261282,6.636724881980802e-14,GSE123919,PAIRED,SPINAL_CORD,SNI,FEMALE,NA
