ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,classification
ENSMUSG00000066189,Cacng3,2.2849983671460135,4.610661713589319,3.925370922925565,1.1745798815244215,0.2401628360827811,0.9999842964361042,Not significant
ENSMUSG00000029503,P2rx2,3.1309614352178365,2.35061841697245,2.6239985920387427,0.8958154261607713,0.3703513495918247,0.9999842964361042,Not significant
ENSMUSG00000036251,Trpm8,1.513581172507613,2.086539031008254,2.714391487593146,0.7686949508003322,0.44207442305367256,0.9999842964361042,Not significant
ENSMUSG00000005952,Trpv1,1.681955696713733,1.9678896937142831,2.1821314873951154,0.9018199430610022,0.36715252397931825,0.9999842964361042,Not significant
ENSMUSG00000040373,Cacng5,167.54779027216745,1.7499451210743469,0.6649545919926291,2.6316761206662136,0.00849648167087441,0.9999842964361042,Not significant
ENSMUSG00000032511,Scn5a,26.835047121323573,1.6369701774674894,1.1821783114437467,1.3847066568733812,0.16614218275117623,0.9999842964361042,Not significant
ENSMUSG00000054934,Kcnmb4,4.729961285731486,1.2500269907820276,1.233216223557359,1.0136316461813777,0.3107585512985732,0.9999842964361042,Not significant
ENSMUSG00000031576,Kcnu1,18.97455343964803,0.952284870707167,0.6813334247281524,1.3976781941780156,0.1622097252769896,0.9999842964361042,Not significant
ENSMUSG00000001027,Scn4a,3.431275756042899,0.9057696425359236,1.2822579815494146,0.7063864335953973,0.47994785520549105,0.9999842964361042,Not significant
ENSMUSG00000027716,Trpc3,4.022521750475306,0.8869455922214089,1.3550222978001178,0.6545616213558754,0.5127500406146495,0.9999842964361042,Not significant
