ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000420,Galnt1,73.898271,40.163247,41.792588,77.726821,40.497735999999996,38.377874999999996
ENSMUSG00000000435,Myf5,0,0.162669,0.05948,0,0.2166,0.117848
ENSMUSG00000000439,Mkrn2,15.382906,14.719977,11.332163000000001,13.277156,18.564845000000002,13.409614000000001
ENSMUSG00000000440,Pparg,0,0,0,0,0,1.704787
ENSMUSG00000000441,Raf1,79.716727,77.962943,81.256642,74.816881,74.686541,80.09891
ENSMUSG00000000486,Septin1,9.996158000000001,9.768368,10.76958,9.706381,12.073802,7.706216
ENSMUSG00000000489,Pdgfb,1.063459,0.839228,1.493149,0.680469,3.164286,1.500927
ENSMUSG00000000530,Acvrl1,5.395882,4.518899,5.719844,5.756183,6.812345,8.45879
ENSMUSG00000000538,Tom1l2,49.651831,37.905583,37.675378,62.933704000000006,26.970834,45.309689999999996
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0
ENSMUSG00000000555,Itga5,0.77777,1.9866169999999999,1.231011,0.915148,1.560485,1.340328
ENSMUSG00000000560,Gabra2,19.482728,22.809267,25.403218,23.253865,20.844406,21.727430000000002
ENSMUSG00000000561,Wdr77,8.379588000000002,23.387364,21.292193,15.671132,18.682609,24.822613999999998
ENSMUSG00000000562,Adora3,1.7378259999999999,0.8882410000000001,1.0328680000000001,0.8627469999999999,0.280911,1.377498
ENSMUSG00000000563,Atp5pb,368.274559,145.21797999999998,152.67783700000004,350.226634,172.501322,169.443619
ENSMUSG00000000568,Hnrnpd,161.71258600000002,93.560462,106.54737,143.854905,110.308531,79.383957
ENSMUSG00000000579,Dynlt1c,23.806863999999997,20.794114,31.226186,31.903293,30.357015999999998,24.146804
ENSMUSG00000000581,C1d,18.576527000000002,52.291826,54.703373000000006,23.358162000000004,28.819473000000002,60.660681
ENSMUSG00000000600,Krit1,29.170211000000002,15.900414000000001,19.914684,40.575599,20.41165,17.96991
ENSMUSG00000000605,Clcn4,5.9360420000000005,7.585767,13.120334,6.673277,9.108344,11.259991
ENSMUSG00000000606,Vmn2r88,0,0,0,0.073285,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0.088603
ENSMUSG00000000627,Sema4f,1.621127,2.324771,0.794278,1.963635,3.1756789999999997,1.5426380000000002
ENSMUSG00000000628,Hk2,0,1.122864,0,0,1.030214,0
ENSMUSG00000000631,Myo18a,79.97794999999999,47.041492,29.228026,99.198727,36.950745,15.370784999999998
ENSMUSG00000000632,Sez6,12.354578,29.849782,26.47473,12.523327000000002,34.369663,32.384869
ENSMUSG00000000673,Haao,0.9308649999999999,0.107286,0.038191,0.033707,0.353873,2.7446
ENSMUSG00000000682,Cd52,0,0,0,0,0,0
ENSMUSG00000000686,Abhd15,1.379255,0,0,0,0,0
ENSMUSG00000000693,Loxl3,0.846514,0.868861,0.8122690000000001,0.996483,1.7502,1.5979700000000001
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,0,0
ENSMUSG00000000708,Kat2b,102.032341,35.79563,28.639976,135.72646600000002,25.868353,28.654612999999998
ENSMUSG00000000711,Rab5b,5.769448,3.993024,4.179856,5.833722,3.2062,3.930925
ENSMUSG00000000724,Cryba1,0,0,0.095972,0,0,0
ENSMUSG00000000730,Dnmt3l,0,0,0,0,0.723221,0
ENSMUSG00000000731,Aire,0.114063,0.650114,0.241862,3.152935,0.195634,0.408331
ENSMUSG00000000732,Icosl,1.677566,3.593111,0.501277,4.168666,0.889944,0.6788430000000001
ENSMUSG00000000738,Spg7,40.028125,38.149346,19.826314999999997,33.11799799999999,37.402839,31.083333
ENSMUSG00000000739,Sult5a1,0,0.231334,2.811924,0,0.5139279999999999,0
ENSMUSG00000000740,Rpl13,9.383846,13.670591,9.483640999999999,7.765988,10.732230999999999,10.003338
ENSMUSG00000000743,Chmp1a,8.798751,9.67104,12.805805,3.946842,11.979651,11.285495999999998
ENSMUSG00000000751,Rpa1,13.350498,15.313188,17.51495,6.562485,17.634029,12.127788
ENSMUSG00000000753,Serpinf1,24.106157,29.999763,18.008499999999998,20.671276,17.845848,17.721381
ENSMUSG00000000759,Tubgcp3,38.143155,22.905004000000005,27.283537000000003,30.038660999999998,32.607363,21.794511000000004
ENSMUSG00000000766,Oprm1,4.769223,1.503199,2.312664,4.157629,1.954915,2.041511
ENSMUSG00000000776,Polr3d,4.106483,1.6383130000000001,11.784492,0.402564,3.514068,5.8909329999999995
ENSMUSG00000000782,Tcf7,0,0,0,0,0,0
ENSMUSG00000000787,Ddx3x,6.94144,1.463187,1.729153,3.923299,3.860199,3.300638
ENSMUSG00000000791,Il12rb1,2.390151,1.205455,0.696015,1.371616,0.382373,0.370475
ENSMUSG00000000794,Kcnn3,8.699053,5.948476,6.312771,9.041145,6.621407,5.568561
ENSMUSG00000000804,Usp32,29.424565,9.576565,13.992759,29.989866,7.826211,12.128334
ENSMUSG00000000805,Car4,1.878655,11.004214,6.808629000000001,8.844354,10.058809,7.573251000000001
ENSMUSG00000000817,Fasl,0,0,0,0,0,0
ENSMUSG00000000823,Zfp512b,29.77001,40.208420000000004,43.128488999999995,30.580332000000002,44.72744,45.877128
ENSMUSG00000000826,Dnajc5,32.166029,25.447917,28.911253000000002,31.348216999999998,29.338667,27.409544
ENSMUSG00000000827,Tpd52l2,63.988062,51.048252999999995,59.152175,59.47211,69.311298,80.352408
ENSMUSG00000000838,Fmr1,21.577959999999997,16.137407,12.852726,26.726193,13.343249,19.351005
ENSMUSG00000000861,Bcl11a,0.662351,0.491736,0.46646,1.283824,0.357164,0.465608
ENSMUSG00000000869,Il4,0.322635,0,0,0,0,0
ENSMUSG00000000881,Dlg3,24.067715,13.412487,10.387279,39.51943,11.670442000000001,15.303019
ENSMUSG00000000884,Gnb1l,2.079103,2.862689,2.484132,0.710383,3.347236,4.0864080000000005
ENSMUSG00000000889,Dbh,0,0,0,0,0,0
ENSMUSG00000000901,Mmp11,1.40575,1.459507,2.259937,0.99219,2.557084,2.264527
ENSMUSG00000000902,Smarcb1,45.890712,47.872973,55.869393,48.633624999999995,47.967028000000006,54.519877
ENSMUSG00000000903,Vpreb3,0.256587,1.015365,0.276727,0,0.337705,0.277333
ENSMUSG00000000915,Hip1r,5.434858,14.777643,17.525879,3.927311,23.663044,16.159793999999998
ENSMUSG00000000916,Nsun5,12.660658999999999,13.072654,12.425891,8.608495999999999,13.062587,14.501932
ENSMUSG00000000934,Top1mt,0,0.849025,0.731602,5.798419,1.090612,0.819745
ENSMUSG00000000938,Hoxa10,39.416781,26.125396,22.564400999999997,43.429688999999996,27.783692,29.559755
ENSMUSG00000000942,Hoxa4,12.683873,9.869579,11.465864,10.315852,8.531412,8.808877
ENSMUSG00000000948,Gm38393,12.897779,9.202876,10.173548,15.983674,11.609755,13.387718
ENSMUSG00000000957,Mmp14,2.689636,1.022865,1.9987759999999999,2.832342,4.310475,3.1146689999999997
ENSMUSG00000000958,Slc7a7,2.106474,0,0,0,0,0
ENSMUSG00000000959,Oxa1l,10.99561,20.951686000000002,14.668484,8.740883,24.693118,18.196595000000002
ENSMUSG00000000976,Heatr6,1.999616,4.079557,3.5929789999999997,4.634697999999999,5.690059,3.3926139999999996
ENSMUSG00000000983,Wfdc18,7.215389,7.558906,11.214728,4.528279,6.398375,6.772689
ENSMUSG00000001014,Icam4,0,0.40658300000000003,0.444867,0,0.335029,0.295195
ENSMUSG00000001016,Ilf2,25.281124999999996,21.522365,26.966722000000004,28.21689,25.005982000000003,25.962429
ENSMUSG00000001017,Chtop,1.374134,0.318123,1.574001,0.591342,0.726045,0.973438
ENSMUSG00000001018,Snapin,144.478026,78.444202,85.33003099999999,125.979786,76.093845,78.634712
ENSMUSG00000001020,S100a4,0,0,0,0,0,0
ENSMUSG00000001021,S100a3,0.139939,2.0983490000000002,0.051967,0.130966,0.300271,3.24457
ENSMUSG00000001025,S100a6,0,3.602787,0.530634,0,0,0.249141
ENSMUSG00000001027,Scn4a,0.065496,0.543175,0.069331,0.01531,0.021019,0.085662
ENSMUSG00000001029,Icam2,2.660061,0,1.204055,0,0.677114,0
ENSMUSG00000001034,Mapk7,13.447569000000003,21.154554,17.222299,9.662832,17.254654,23.531669
ENSMUSG00000001036,Epn2,8.950209000000001,19.960430000000002,23.229316,14.906761999999999,11.311838,14.047415
ENSMUSG00000001039,B9d1,8.846219,24.533907,15.726752000000001,11.120895,11.596573,14.459302000000001
ENSMUSG00000001052,Sec24b,53.583448,42.053208,57.705198,48.585377,58.436945,50.740274
ENSMUSG00000001053,N4bp3,0,0.587139,1.041271,1.4466189999999999,0.833254,1.076504
ENSMUSG00000001054,Rmnd5b,8.07178,2.792999,10.142547,6.120584,5.912756,1.573668
ENSMUSG00000001056,Nhp2,1.00133,1.618692,3.105598,2.2565210000000002,3.8634,1.889968
ENSMUSG00000001062,Vps9d1,20.219499,33.334936,31.408092000000003,16.320498,30.603681,30.823867
ENSMUSG00000001065,Zfp276,14.430767000000001,17.004655,16.811973,10.981691000000001,15.921683999999999,17.60517
ENSMUSG00000001082,Mfsd10,7.417384,21.979370999999997,30.602749000000003,12.680120000000002,19.587241999999996,26.611275
