ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000001946,Esam,19.848,21.363,16.64,14.344,13.812999999999999,10.814,11.762,4.984,13.646,7.734,6.972,4.657,6.91,7.399
ENSMUSG00000001948,Spa17,0,0,7.392,0,2.979,2.981,0,0,0,1.231,0,0,1.593,5.025
ENSMUSG00000001962,Fam50a,51.321,70.396,62.2,92.282,44.478,87.654,81.432,46.697,59.415,59.818,56.225,34.486,35.681000000000004,67.526
ENSMUSG00000001964,Emd,217.674,126.265,121.636,177.71300000000002,57.269,99.62,65.157,69.02,54.411,68.065,124.098,14.795,70.68100000000001,132.165
ENSMUSG00000001983,Taco1,218,189.998,214,234,168,197,295.073,312.665,281.139,310.89,311.554,291.635,291.659,326.582
ENSMUSG00000001986,Gria3,1028.086,569.724,602.452,1006.082,627.24,653.361,1489.442,1262.962,923.141,1142.49,1384.835,1284.5629999999999,1643.908,1505.026
ENSMUSG00000001988,Npas1,16.577,16.353,23.353,6.491,24.437,15.386,5.187,10.883,14.343,9,4.9639999999999995,8.528,25.331,8.611
ENSMUSG00000001995,Sipa1l2,1,0,1,2,2,0,0,0,1,0,0,0,0,0
ENSMUSG00000001998,Ap4e1,110.15800000000002,52.587999999999994,42.92400000000001,128.10799999999998,45.284,39.754000000000005,118.9,92.534,101.608,90.452,106.02700000000002,86.031,98.25999999999999,102.90899999999999
ENSMUSG00000001999,Blvra,41.612,17.325,20.559,33.773,26.163000000000004,29.505000000000003,31.192,29.183999999999997,20.646,35.571,21.31,18.454,49.64600000000001,42.422
ENSMUSG00000002007,Srpk3,172.354,186.389,156.807,121.526,184.42600000000002,210.22199999999998,101.6,88.735,100.364,81.91000000000001,94.034,78.539,68.669,123.583
ENSMUSG00000002010,Idh3g,312.8070000000001,443.508,343.705,328.68899999999996,337.74100000000004,386.531,359.906,273.89099999999996,332.02699999999993,251.67999999999998,269.69100000000003,274.639,316.201,326.751
ENSMUSG00000002012,Pnck,111.342,163.351,113.751,54.364,145.207,132.79000000000002,133.162,163.11599999999999,161.827,113.469,164.636,170.97,150.468,176.171
ENSMUSG00000002014,Ssr4,127.4,166.548,192.99099999999999,121.055,191.37800000000001,172.686,219.825,203.35700000000003,140.993,194.195,162.15300000000002,201.788,210.162,170.995
ENSMUSG00000002017,Fam98a,1552.8070000000002,1028.937,974.6740000000001,1620.648,813.8870000000001,1115.5720000000001,1272.824,1434.786,1381.105,1298.199,1224.3740000000003,1319.594,1444.972,1354.993
ENSMUSG00000002020,Ltbp2,0,0,0.823,0,3.25,0,1.254,10,0,9,1.926,0,4.911,2.177
ENSMUSG00000002028,Kmt2a,32.112,47.403,1.541,34.714,1.973,38.082,42.91,33.446,66.105,30.82,76.33,19.623,72.882,76.943
ENSMUSG00000002031,Ift46,710.5280000000001,583.6429999999999,519.9639999999999,855.6390000000001,431.8679999999999,548.2230000000001,739.374,779.4710000000001,662.018,661.596,683.172,746.4979999999999,697.1700000000001,776.447
ENSMUSG00000002032,Tmem25,134.89300000000003,366.6360000000001,285.49899999999997,224.621,270.86299999999994,401.855,370.562,397.12800000000004,371.295,355.66399999999993,347.27500000000003,476.87,419.8689999999999,384.452
ENSMUSG00000002033,Cd3g,0,0,0,1.717,0,0,0,1.087,0,0,0,0,0,0
ENSMUSG00000002043,Trappc6a,4.307,17.051000000000002,24.46,10.417,15.122,14.512999999999998,24.552999999999997,29.61,34.417,29.997999999999998,32.151999999999994,20.2,40.637,36.204
ENSMUSG00000002052,Supt6,4087,3995.029,3631.903,4965.503,3065.9970000000003,3889.398,3620.093,3674.0750000000003,3650.016,3337.2870000000003,3621.637,3530.173,3529.4739999999997,4103.053
ENSMUSG00000002055,Spag5,32.789,30.89,35.49,57.982,13.599999999999998,37.427,77.083,75.721,89.54,64.99900000000001,75.39,43.055,76.29599999999999,77.21600000000001
ENSMUSG00000002057,Foxn1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002058,Unc119,195.136,105.036,135.418,155.881,136.13400000000001,135.518,118.572,111.642,83.082,136.731,98.807,67.757,150.087,155.13600000000002
ENSMUSG00000002059,Rab34,46.003,67.847,52.589,63.006,42.339999999999996,57.211999999999996,29.901,50.480000000000004,35.543,47.629999999999995,53.141999999999996,45.73,31.816000000000003,35.7
