ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000276,Dgke,21.057069000000002,10.970849,12.846931,22.532727,13.205247,11.311845,12.568116,11.26253,12.867908,11.856212999999999,13.925915,10.859696,11.636161,13.418648
ENSMUSG00000000282,Mnt,0.320249,3.3942,0,0,1.883804,0,0,0,0.470406,0.230068,0,0,0,0.188733
ENSMUSG00000000290,Itgb2,6.26433,6.85201,6.480499,4.235703,5.2886370000000005,4.5497049999999994,6.114996,5.6940479999999996,6.977869,5.569351,3.277878,2.549285,2.60684,2.811037
ENSMUSG00000000295,Hddc2,3.931197,0.739394,2.0562899999999997,1.271585,1.117606,0.26387,2.591328,3.7550689999999998,2.494277,2.2636339999999997,3.799542,2.426133,1.515138,0.7068909999999999
ENSMUSG00000000301,Pemt,2.387439,6.485163,8.938079,1.207123,6.770558,4.186768,5.972081,1.813441,4.794608,2.8437170000000003,1.313057,3.1665900000000002,4.414159,1.219964
ENSMUSG00000000303,Cdh1,0.172862,0.215343,0.026272,0,0.191191,0.207843,0.929303,2.71943,1.56439,1.743463,4.084442,1.896382,3.056864,2.214582
ENSMUSG00000000305,Cdh4,0,0.609076,0.6809839999999999,0.751776,2.483108,0.7032419999999999,0.101746,0.778124,0,0.112201,0.283321,0.664157,0.261433,0
ENSMUSG00000000308,Ckmt1,32.643789,21.975141999999998,42.523967,12.877467,22.030496,22.644471,18.147985,8.878216,19.248945,11.423501,9.639516,7.520619,10.871848,16.027874
ENSMUSG00000000317,Bcl6b,1.73419,1.602174,1.30147,1.83183,1.920263,2.104005,0.300305,0.298263,0.421216,0.258283,0.632035,0.375346,0.186096,0.365376
ENSMUSG00000000318,Clec10a,0,0.33031,0.39244,0,0,0,0,0.869229,0.940024,0.815375,0.282114,0,0.621729,0.608561
ENSMUSG00000000320,Alox12,0.140968,0.507687,0.43782,0.175628,0.559508,0.433274,0.180769,0.062434,0.071372,0.067298,0.268489,0.044626,0.163239,0.168285
ENSMUSG00000000326,Comt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000339,Rtca,17.439225,5.4831389999999995,6.346986,9.998565000000001,5.860201,4.3516840000000006,3.997267,3.454212,7.063024,4.561726,2.9380239999999995,4.78828,4.622039,5.321563
ENSMUSG00000000340,Dbt,2.583221,0.716742,5.532153999999999,0,7.559353,4.949953,1.731943,1.799864,1.12493,0.558889,0.8952709999999999,1.583524,1.1749100000000001,0.700724
ENSMUSG00000000346,Dazap2,3.29711,8.394498,7.0268370000000004,7.590374,10.952563000000001,8.356133,3.84811,4.749121000000001,5.0268429999999995,3.630527,6.849311,6.936501,7.899622000000001,5.305873
ENSMUSG00000000355,Mcts1,69.271304,32.514645,29.340431000000002,73.498188,46.685627,42.573261,40.441342,39.625789999999995,45.176098999999994,42.08002,30.274068,39.682237,46.69850600000001,43.82602
ENSMUSG00000000359,Rem1,0,0.111653,0.131332,1.233844,0,0,0,0.097999,0,0,0.601656,0,0,0
ENSMUSG00000000365,Rnf17,0,0,0.639263,0,0.192161,0,0,0,0.125951,0,0,0,0,0.091529
ENSMUSG00000000374,Trappc10,12.839551,8.886852,9.467814,8.865672,7.721845,9.805714,4.954449,3.104917,5.435544999999999,5.267392999999999,3.645721,5.453004000000001,7.747342,6.031226
ENSMUSG00000000378,Ccm2,0.790513,5.883449000000001,3.965948,4.264457,1.164372,4.673065,2.541832,12.60996,18.718571,14.123798,3.231138,7.227707,12.450182,10.072536999999999
