ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0.630429,0.554513,0.387023,0.634494,0.287339,0.135158,0.558714,0.42514,0.7792,0.167529,0.336277,0.23058
ENSMUSG00000000037,Scml2,0.64659,1.194323,0.479896,0.643186,0.052519,0.58149,0.16689,1.329042,0,0.362036,0,0.895846
ENSMUSG00000000049,Apoh,0,0,0.617781,0.551359,0,0,0,0,0,0,0,0
ENSMUSG00000000056,Narf,0.984038,0,1.569421,0,0.814527,1.342898,1.212711,2.769478,2.306931,4.846420999999999,1.352797,1.113614
ENSMUSG00000000078,Klf6,10.30059,11.251179,10.916314,16.757303,11.607178,10.516551,14.221019,18.407676,13.557025,27.410842000000002,16.558673,13.75293
ENSMUSG00000000085,Scmh1,14.140655000000002,16.453759,15.161731999999999,22.429888,16.175871,15.519788000000002,32.622438,36.638152,34.682261,39.25332900000001,43.782759,39.191883000000004
ENSMUSG00000000088,Cox5a,6.19345,4.804731,5.319168,6.073239,5.983479,7.4698709999999995,6.204842,6.818041,5.502107,4.762367,7.313646,5.610534
ENSMUSG00000000093,Tbx2,0.895332,0.75186,0.676224,1.135333,0.587059,0.255581,1.597941,1.59387,1.588386,1.118387,1.49745,1.092591
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,1.602798,1.467992,1.20964,2.02655,3.511281,1.291865,2.595258,2.688791,2.403442,1.670448,1.920092,2.042443
ENSMUSG00000000127,Fer,0,0.257828,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,9.718784,14.289185000000002,11.339453,11.352291999999998,10.998385999999998,13.072597,21.866571000000004,34.824324000000004,29.060839000000005,34.86966900000001,20.851081,27.740186
ENSMUSG00000000134,Tfe3,1.3551900000000001,0.9582660000000001,2.241538,2.0323439999999997,0.771757,3.133472,7.682639999999999,5.094664,6.467073000000001,6.59196,6.042638999999999,5.043984999999999
ENSMUSG00000000142,Axin2,2.856444,2.6345460000000003,2.201397,4.021828,2.620119,2.516859,2.7680759999999998,2.7034849999999997,0,1.001238,2.012443,1.055237
ENSMUSG00000000148,Brat1,4.714761,4.7408150000000004,3.066718,3.8311679999999995,3.8800840000000005,4.327884,8.342919,12.15056,9.981246000000002,2.210286,13.59814,11.025013000000001
ENSMUSG00000000149,Gna12,0,0.254354,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000154,Slc22a18,0,0,0.301749,0,0,0,0,0,0,0.304944,0.347969,0
ENSMUSG00000000157,Itgb2l,0.257126,0.109251,0.153466,0.054766,0,0.28144899999999995,0,0,0,1.007908,0.113828,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0,0,0,0.667753,0,0
ENSMUSG00000000167,Pih1d2,2.910014,2.9285680000000003,2.364172,2.8600140000000005,2.965452,1.650415,6.463033,4.210216,5.7254950000000004,2.245518,3.2497540000000003,3.111725
ENSMUSG00000000168,Dlat,23.573803,24.600712,14.519444,19.014859,14.992035,22.89505,47.555064,34.381285000000005,44.925284999999995,32.205991,54.707391,52.40301399999999
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0.030098,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,6.3792469999999994,7.52103,6.8800110000000005,8.504179,7.059213,7.829257,12.025668999999999,10.309273000000001,11.222389,17.207615,11.434769,11.553273
ENSMUSG00000000194,Gpr107,4.04026,7.477182000000001,5.738898000000001,4.714186999999999,4.461698,3.075693,6.944959,4.6527259999999995,5.661472,12.899477999999998,8.955328,3.9684209999999993
ENSMUSG00000000197,Nalcn,0.07202700000000001,0.115671,0.14645,0.097086,0.13063000000000002,0.343369,0.30834,0.256586,0,0.446778,0,0.531594
ENSMUSG00000000202,Btbd17,5.405779,6.16056,6.469874000000001,13.05957,3.9068519999999998,4.614399,5.832598,4.912667,5.526527,3.771374,2.700063,3.9044350000000003
ENSMUSG00000000204,Slfn4,0.579401,0.105649,0.799778,1.810484,0.533148,0.268418,0,0,0,0,0,0.280657
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,13.686375,14.265457999999999,9.270971,65.233486,26.722524999999997,15.450261999999999,20.210513,20.823025,20.203803,23.058082999999996,19.285812,20.553478
ENSMUSG00000000244,Tspan32,0.016587,0.049483,0.08807,0.780024,0.14325,0.032791,0.986239,0.196712,0,0.023961,0,0.361884
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0,0,0,0,1.78392,0
ENSMUSG00000000248,Clec2g,1.138499,0,0,0,0.568692,0,0,0,0,0,0.061545,0.200861
ENSMUSG00000000253,Gmpr,0.740832,0.384194,2.830695,1.795021,4.08716,5.721909999999999,7.308216,9.293409,5.38931,30.362969999999997,8.074199,16.080121000000002
ENSMUSG00000000263,Glra1,2.222643,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,9.234195999999999,10.443628,10.065529,10.619323000000001,11.806232000000001,9.772102,10.41437,14.74094,13.651418,24.785733999999998,12.39174,10.733428
ENSMUSG00000000275,Trim25,0.082942,0,0,0,0,0,0.249412,0.333528,0,0,0.364907,0
ENSMUSG00000000276,Dgke,10.159044999999999,9.540055,8.962390000000001,7.595484,8.681915,9.582984,11.163148000000001,12.583343,11.854144,22.532727,13.205247,11.311845
ENSMUSG00000000282,Mnt,0,0,0.337911,0,0,0,5.393385,3.266379,0,0,1.883804,0
ENSMUSG00000000290,Itgb2,3.164964,3.220979,2.729927,4.2527170000000005,3.2294739999999997,2.972421,5.706735,5.695091,7.480402,4.235703,5.2886370000000005,4.5497049999999994
ENSMUSG00000000295,Hddc2,0.438821,0.633168,1.2300270000000002,1.327938,0.487854,1.617175,3.8774509999999998,2.652482,2.17206,1.271585,1.117606,0.26387
ENSMUSG00000000301,Pemt,2.048772,3.202686,4.454642,2.3589640000000003,4.7299690000000005,2.50798,1.893543,2.099731,3.679819,1.207123,6.770558,4.186768
ENSMUSG00000000303,Cdh1,1.107658,0.782199,0.153418,9.405675,3.276553,1.031459,0.1723,0.238667,0.104865,0,0.191191,0.207843
ENSMUSG00000000305,Cdh4,0,0.499363,0.433158,0.9549030000000001,0,0.196367,0.82779,1.042298,2.7930450000000002,0.751776,2.483108,0.7032419999999999
ENSMUSG00000000308,Ckmt1,7.611616,1.775317,3.313414,7.191711,5.2856499999999995,6.801817999999999,22.783412,19.281105,26.15585,12.877467,22.030496,22.644471
ENSMUSG00000000317,Bcl6b,0.539148,0.9876550000000001,1.287247,1.208776,0.9631649999999999,0.914815,1.7066459999999999,2.1699859999999997,1.825219,1.83183,1.920263,2.104005
ENSMUSG00000000318,Clec10a,0,0,0,0,0,0,0,0.40238,0,0,0,0
