sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,gse,layout,tissue,condition,sex,dpi
SRR19070041,-127.1141609700751,-82.81297455926163,7.420051818717312,-4.129294903242412,18.969817899876986,0.13085820002249213,6.497226314476726,-3.056898253002527,0.25245008879913117,-3.616657398070942,-2.1484268283910946,1.8317907431306943,-2.6340656414289724e-13,-1.603844642675891e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070042,68.99712619438462,-3.902817804706811,32.042834069183776,6.493154849737901,-33.093850724903035,-77.1361772186426,13.664175725181241,1.0660061616256518,-2.391515531643828,-1.237545499283299,-0.6827198585227655,-2.2112267819511247,-3.035768280764038e-13,-1.7207454097985396e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070043,68.5306561681408,-1.0262836531919144,56.89555254005859,-8.633137963620621,-32.45850637790867,66.5630474574234,2.011288166946185,-4.230546405037296,1.4826779469617535,-2.0942384053829013,0.48400610161109675,0.23730394898127,-2.8627953842209515e-13,-1.5913602746660108e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070035,-142.20021440778984,77.71965108702635,-1.0059273377951763,-0.7356611552080038,-12.376685771521277,-1.7209281770745464,-7.66997701608746,-0.1314493942318276,-2.166111092489841,8.655158757854261,0.23530655097089162,-0.49977689129346164,-2.8129340220041105e-13,-1.6609990334393418e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070036,66.49125087440103,-0.9533005512257857,-74.88692767814315,-64.96136680430776,2.241031142891768,4.137383403755892,-3.4783910554326027,1.5786487489413303,-0.6582761010797714,1.02346318993802,0.3640838616258653,0.022269753771917776,-2.729605038143618e-13,-1.4364501033110537e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070037,65.29534214093829,10.975725481360202,-20.465583412021306,71.96630597664065,56.71819383156419,8.025816334515207,-11.02432213508413,4.774239141704734,3.480774689452624,-2.7301806450550434,1.747750172706045,0.6196392273607036,-2.9899765035647566e-13,-1.58383673630753e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR25715198,-14.059060596943777,-11.224969698509467,-19.00294099584795,17.43691000864671,-31.953232019436328,2.8492684575116822,-21.230508568333494,9.39315922983467,8.772690122407377,-23.38883728273611,53.5458018585054,-39.20519999792443,-2.6667059266932044e-13,1.3937004122719283e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715200,2.035205304239582,-3.481029614406915,-0.12139263122945963,2.474100822916929,-1.6998928194265086,2.850608251536809,-14.59043971640834,15.841524797239595,-41.00807761893169,0.08953559938220991,-52.56337820726777,-43.04035769096003,-2.819572383774643e-13,1.2538041123763742e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715206,2.1240488965330773,-20.01016963093083,-21.050325502171017,24.69260814958087,-38.601416599912326,0.9453800440820763,-37.848581384289936,-9.953999051777624,13.732168711148587,47.76009596871985,-11.4757559935483,32.62991091817073,-2.735189958951866e-13,1.402498240471463e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715208,1.824280475742235,7.835158528697006,30.95820156855185,-28.992127875759614,26.370880138998007,-9.22660820376715,-31.218059176833243,51.695996935927596,22.211007267694573,-25.343492795483044,-4.1814715008962935,28.84083641362748,-2.853721195059994e-13,1.3254416614654385e-13,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715228,3.684360921659963,2.9876318326920415,2.3917079844424887,-1.2494033990335178,11.140293879318408,4.488761989383917,35.53755490674177,14.260379850460492,-58.69394118378285,17.19673242886511,33.37192051116723,27.27520094149744,-2.716926478299841e-13,1.2952967712961528e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715226,16.132203907833517,10.027551660720084,33.72652270685586,-31.39819826637717,46.75211128225629,-11.537433167318701,-15.050509094376345,-55.32256312363757,9.048067491601136,19.842892216681523,12.804807558655797,-17.93388695583638,-2.6491569510239434e-13,1.2819920884390604e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715220,-4.161448252848549,6.199616752835887,-8.674336397286684,4.454288125081237,2.497092185418402,7.311742004743647,66.07546137843681,18.304642853467723,46.67551652241328,20.016343152708668,-11.85971364483151,-15.765112380350983,-2.8379482653843846e-13,1.2874422061053604e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715218,-7.57959065621601,7.666210168902202,-18.227436733315,12.581822434944483,-14.505836047216182,2.3182806238277887,18.325081655062487,-44.21914149151458,-0.737431312549995,-56.17326928813829,-19.642210581784788,27.19860875177584,-2.755409780619666e-13,1.3488133638740082e-13,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
